Nom du Produit en Français	AGB 3.1  Score unique EF (mPt/kg de produit)
Boules de maïs soufflées au miel, enrichies en vitamines et minéraux	0.63233444
Boulette végétale au soja et/ou blé, préemballée	0.31192992
Boulettes au bœuf, à la sauce tomate	1.1768387
Boulgour de blé, cru	0.14173396
Boulgour de blé, cuit, non salé	0.063820516
Brème, cru	1.9024819
Bresaola	1.9785153
Brick à l'oeuf	0.61405285
Brick à la pomme de terre	0.61405285
Brick au boeuf	0.61405285
Brick garni (garniture : crevettes, légumes, volaille, viande, poisson, etc.)	0.61405285
Brie de Meaux	0.48727665
Brie de Melun	0.49218536
Brie, sans précision	0.50195389
Brioche aux pépites de chocolat	0.31847391
Brioche fourrée au chocolat	0.45560578
Brioche fourrée aux fruits	0.45560578
Brioche fourrée crème pâtissière (type "chinois"), préemballée	0.3167748
Brioche pur beurre	0.39084972
Brioche, de boulangerie traditionnelle	0.39084972
Brioche, préemballée	0.39084972
Brioche, sans précision	0.39084972
Brochette d'agneau	5.9603456
Brochette de boeuf	3.4321949
Brochette de poisson	2.3662851
Brochette de porc, crue	0.99563423
Brochette de volaille	1.1951891
Brochette mixte de viande	1.0272284
Brocoli, cru	0.094370785
Brocoli, cuit	0.13086966
Brocoli, purée	0.12403455
Brocoli, surgelé, cru	0.13687902
Brocoli, surgelé, cuit	0.17062298
Brownie au chocolat	0.66024067
Bûche de Noël pâtissière	0.53441945
Bûche glacée	0.22353537
Burger au poisson	1.0457212
Burger au poulet	0.61180026
Burger végétarien	0.31689076
Burritos	0.86049591
Cabillaud, cru	1.8946113
Cabillaud, cuit à la vapeur	2.3421423
Cabillaud, rôti/cuit au four	2.3421423
Cacahuète ou Arachide	0.58225055
Cacahuète, grillée	0.58225055
Cacahuète, grillée, salée	0.58225055
Cacahuètes (arachide) enrobées d'un biscuit, pour apéritif	0.47430011
Cacahuètes enrobées de chocolat dragéifiées	0.69508029
Cacao, non sucré, poudre soluble	1.2748973
Café au lait ou cappuccino au chocolat, poudre soluble	1.0411384
Café au lait ou cappuccino, poudre soluble	1.0367152
Café au lait, café crème ou cappuccino, instantané ou non, non sucré, prêt à boire	0.06513362
Café décaféiné, instantané, non sucré, prêt à boire	0.26534211
Café décaféiné, non instantané, non sucré, prêt à boire	0.11511071
Café expresso, non instantané, non sucré, prêt à boire	0.1118964
Café, décaféiné, poudre soluble	4.4734801
Café, instantané, non sucré, prêt à boire	0.25854762
Café, moulu	1.8428318
Café, non instantané, non sucré, prêt à boire	0.1118964
Café, poudre soluble	4.3569964
Caille, viande et peau, cuite	1.2099739
Cake aux fruits	0.31863836
Cake salé (garniture : fromage, légumes, viande, poisson, volaille, etc.)	0.58485023
Calissons d'Aix en Provence	0.13388047
Calmar ou Calamar ou encornet, à la romaine (beignet)	0.8944303
Calmar ou calamar ou encornet, bouilli/cuit à l'eau	1.1027068
Calmar ou calamar ou encornet, cru	1.9833293
Calmar ou calamar ou encornet, frit ou poêlé avec matière grasse	1.0934366
Camembert au lait cru	0.49904289
Camembert, sans précision	0.49904289
Canard en sauce (poivre vert, chasseur, etc.)	0.85218039
Canard, cuisse avec peau, sans os, crue	0.89010237
Canard, magret fumé	1.2402602
Canard, magret, cru	1.1951891
Canard, magret, grillé/poêlé	1.1951891
Canard, viande et peau, cru	0.89010237
Canard, viande et peau, rôti/cuit au four	1.2099739
Canard, viande, crue	0.89010237
Canard, viande, rôtie/cuite au four	1.2099739
Canelé	0.24050964
Canneberge ou cranberry, crue	0.66124332
Cannelle, poudre	1.423572
Cantal entre-deux	0.57203868
Cantal, Salers ou Laguiole	0.57203868
Capelan, cru	1.4905887
Carambole, pulpe, crue	0.18294147
Carangue, cru	0.81624389
Cardamome, poudre	1.423572
Cardine franche, crue	1.8946113
Cardon, cru	0.091769015
Cardon, cuit	0.1478877
Carotte, appertisée, égouttée	0.11502597
Carotte, crue	0.055979459
Carotte, cuite	0.11350822
Carotte, purée	0.091794224
Carotte, surgelée, crue	0.10786978
Carotte, surgelée, cuite	0.13673647
Carottes râpées, avec sauce, préemballées	0.1367789
Carpaccio de saumon avec marinade	0.78168164
Carpe, crue, élevage	1.383784
Carpe, rôtie/cuite au four	1.7183925
